"","Strains","row_id","Plate","PD2_blank","PD2Ca_blank","Variable","OD","Treatment","Day"
"74","WM1-1",12,2,0.109666666666667,0.107666666666667,"X2",0.00833333333333333,"PD2",0
"75","WM1-1",12,2,0.109666666666667,0.107666666666667,"X3",0.00533333333333334,"PD2",0
"76","WM1-1",12,2,0.109666666666667,0.107666666666667,"X4",0.00633333333333334,"PD2",0
"77","WM1-1",12,2,0.109666666666667,0.107666666666667,"X5",0.00433333333333334,"PD2",0
"78","WM1-1",12,2,0.109666666666667,0.107666666666667,"X6",0.00633333333333334,"PD2",0
"79","WM1-1",12,2,0.109666666666667,0.107666666666667,"X7",0.00533333333333334,"PD2+Ca",0
"80","WM1-1",12,2,0.109666666666667,0.107666666666667,"X8",0.00633333333333334,"PD2+Ca",0
"81","WM1-1",12,2,0.109666666666667,0.107666666666667,"X9",0.00733333333333334,"PD2+Ca",0
"82","WM1-1",12,2,0.109666666666667,0.107666666666667,"X10",0.00633333333333334,"PD2+Ca",0
"83","WM1-1",12,2,0.109666666666667,0.107666666666667,"X11",0.00733333333333334,"PD2+Ca",0
"84","WM1-1",12,2,0.109666666666667,0.107666666666667,"X12",0.00533333333333334,"PD2+Ca",0
"85","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X1",0.00633333333333334,"PD2",0
"86","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X2",0.00533333333333334,"PD2",0
"87","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X3",0.00533333333333334,"PD2",0
"88","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X4",0.00433333333333334,"PD2",0
"89","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X5",0.0113333333333333,"PD2",0
"90","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X6",0.00433333333333334,"PD2",0
"91","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X7",0.00433333333333334,"PD2+Ca",0
"92","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X8",0.00533333333333334,"PD2+Ca",0
"93","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X9",0.00533333333333334,"PD2+Ca",0
"94","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X10",0.00433333333333334,"PD2+Ca",0
"95","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X11",0.00433333333333334,"PD2+Ca",0
"96","B3SN17.2",13,2,0.109666666666667,0.107666666666667,"X12",0.00433333333333334,"PD2+Ca",0
"97","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X1",0.00533333333333334,"PD2",0
"98","TemeculaL",14,2,0.109666666666667,0.107666666666667,"X2",0.0103333333333333,"PD2",0
